index,airport,year,departures for metric computation,arrivals for metric computation,percent on-time gate departures,percent on-time airport departures,percent on-time gate arrivals,average_gate_departure_delay,average_taxi_out_time,average taxi out delay,average airport departure delay,average airborne delay,average taxi in delay,average block delay,average gate arrival delay,index,Airport,Year,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions,index,Key,LocID,AP_NAME,ALIAS,Facility Type,FAA REGION,COUNTY,CITY,STATE,AP Type,Latitude,Longitude,Boundary Data Available
744,SJU,2014,43671,42965,0.8056,0.7784,0.7815,11.71,12.89,1.88,13.13,1.81,1,2.93,12.79,727,SJU,2014,280,241,72,31,10,2885,SJU,LUIS MUNOZ MARIN INTL,Aeropuerto Int'l Luis Mu•À_oz Marin,Airport,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,18.439295,-66.002004,Yes
743,SJU,2013,42902,42175,0.8058,0.7808,0.784,12.31,13.56,2.2,13.52,1.78,1.41,2.86,12.96,726,SJU,2013,127,94,65,64,10,2885,SJU,LUIS MUNOZ MARIN INTL,Aeropuerto Int'l Luis Mu•À_oz Marin,Airport,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,18.439295,-66.002004,Yes
742,SJU,2012,44716,43985,0.8417,0.8228,0.8181,9.55,13.15,1.82,10.55,1.41,1.33,2.89,10.64,725,SJU,2012,174,141,62,41,10,2885,SJU,LUIS MUNOZ MARIN INTL,Aeropuerto Int'l Luis Mu•À_oz Marin,Airport,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,18.439295,-66.002004,Yes
741,SJU,2011,42803,42401,0.8179,0.7934,0.7899,10.86,13.23,1.96,12.07,1.45,1.57,3.67,12.28,724,SJU,2011,240,201,101,55,10,2885,SJU,LUIS MUNOZ MARIN INTL,Aeropuerto Int'l Luis Mu•À_oz Marin,Airport,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,18.439295,-66.002004,Yes
740,SJU,2010,47314,45781,0.7967,0.7815,0.7719,12.21,13.04,1.39,13,1.65,1.32,3.53,13.4,723,SJU,2010,258,207,82,45,10,2885,SJU,LUIS MUNOZ MARIN INTL,Aeropuerto Int'l Luis Mu•À_oz Marin,Airport,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,18.439295,-66.002004,Yes
739,SJU,2009,48418,46678,0.8168,0.8015,0.7999,11.44,13.29,1.43,12.28,1.22,0.95,2.88,11.77,722,SJU,2009,199,159,57,58,10,2885,SJU,LUIS MUNOZ MARIN INTL,Aeropuerto Int'l Luis Mu•À_oz Marin,Airport,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,18.439295,-66.002004,Yes
738,SJU,2008,44493,43448,0.8004,0.781,0.7533,12.54,14.22,1.85,13.59,1.64,1.25,3.75,15.18,721,SJU,2008,238,197,78,29,10,2885,SJU,LUIS MUNOZ MARIN INTL,Aeropuerto Int'l Luis Mu•À_oz Marin,Airport,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,18.439295,-66.002004,Yes
737,SJU,2007,47987,47246,0.8014,0.7522,0.7414,12.53,15.22,3.16,14.97,1.55,1.71,4.09,16.31,720,SJU,2007,307,278,70,42,10,2885,SJU,LUIS MUNOZ MARIN INTL,Aeropuerto Int'l Luis Mu•À_oz Marin,Airport,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,18.439295,-66.002004,Yes
736,SJU,2006,55707,52948,0.8054,0.7446,0.7611,11.61,15.75,4.28,14.34,1.73,1.29,4.19,14.17,719,SJU,2006,257,233,63,44,10,2885,SJU,LUIS MUNOZ MARIN INTL,Aeropuerto Int'l Luis Mu•À_oz Marin,Airport,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,18.439295,-66.002004,Yes
735,SJU,2005,57736,54870,0.7789,0.7464,0.7604,12.74,14.14,3.03,14.43,1.63,1.36,4.04,14.65,718,SJU,2005,315,282,64,36,10,2885,SJU,LUIS MUNOZ MARIN INTL,Aeropuerto Int'l Luis Mu•À_oz Marin,Airport,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,18.439295,-66.002004,Yes
734,SJU,2004,60371,56735,0.8019,0.7794,0.7984,11.19,13.84,2.27,12.43,1.88,0.79,3.39,12.28,717,SJU,2004,330,289,55,28,10,2885,SJU,LUIS MUNOZ MARIN INTL,Aeropuerto Int'l Luis Mu•À_oz Marin,Airport,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,18.439295,-66.002004,Yes
516,OGG,2014,34163,33547,0.9007,0.8881,0.8784,5.8,8.58,1.39,6.44,1.71,0.87,3.85,7.18,505,OGG,2014,114,85,34,35,20,976,OGG,KAHULUI,Kahului Airport,Airport,AWP,MAUI,KAHULUI,HI,Federalized/Commercial,20.89865,-156.430458,Yes
515,OGG,2013,30069,29737,0.8871,0.8743,0.8589,7.26,8.64,1.53,8,1.01,1.01,3.48,8.36,504,OGG,2013,210,168,40,39,20,976,OGG,KAHULUI,Kahului Airport,Airport,AWP,MAUI,KAHULUI,HI,Federalized/Commercial,20.89865,-156.430458,Yes
514,OGG,2012,31181,31051,0.9,0.8883,0.8747,6.47,8.59,1.51,7.21,0.95,0.9,3.51,7.48,503,OGG,2012,125,91,48,37,20,976,OGG,KAHULUI,Kahului Airport,Airport,AWP,MAUI,KAHULUI,HI,Federalized/Commercial,20.89865,-156.430458,Yes
513,OGG,2011,27142,27090,0.9097,0.8974,0.8803,6.12,8.61,1.46,6.85,1.24,0.62,3.18,7.25,502,OGG,2011,139,106,23,27,20,976,OGG,KAHULUI,Kahului Airport,Airport,AWP,MAUI,KAHULUI,HI,Federalized/Commercial,20.89865,-156.430458,Yes
